coluna,tipo,nulos,nulos_pct,distintos,nulo_esperado
NUMERO_REAVISO,int64,0,0.0,275484,False
IDUC,int64,0,0.0,27016,False
ANO_MES,object,0,0.0,26,False
DATA_EMISSAO,object,0,0.0,566,False
TARGET_PAGOU_ANTES_CORTE,int64,0,0.0,2,False
NOME_CLASSE,object,0,0.0,6,False
NOME_SUBCLASSE,object,0,0.0,29,False
FLAG_RESIDENCIAL,int64,0,0.0,2,False
FLAG_INDUSTRIAL,int64,0,0.0,2,False
FLAG_COMERCIAL,int64,0,0.0,2,False
FLAG_RURAL,int64,0,0.0,2,False
FLAG_PODER_PUBLICO,int64,0,0.0,2,False
FLAG_SERVICO_PUBLICO,int64,0,0.0,1,False
FLAG_BAIXA_RENDA,int64,0,0.0,1,False
MUNICIPIO,object,115679,41.99,10,False
UF,object,115679,41.99,1,False
NOME_BAIRRO,object,0,0.0,234,False
NOME_ROTA,object,0,0.0,208,False
DISJUNTOR,int64,0,0.0,26,False
KVA_DISPONIVEL,float64,0,0.0,4428,False
FLAG_DEBITO_CONTA,int64,0,0.0,2,False
FLAG_MICRO_GERACAO,int64,0,0.0,2,False
GRUPO_TENSAO,object,0,0.0,2,False
TOTAL_DEBITO,float64,0,0.0,58500,False
CANAL_ENTREGA,int64,0,0.0,1,True
PRORROGADO,int64,0,0.0,2,False
HAVIA_PRORROGACOES,int64,0,0.0,1,False
ORIGEM_REAVISO,int64,0,0.0,3,False
MES_REFERENCIA,int64,0,0.0,12,False
TRIMESTRE,int64,0,0.0,4,False
DIA_SEMANA_EMISSAO,int64,0,0.0,7,False
DIAS_ATE_LIMITE_CORTE,int64,0,0.0,81,False
QTDE_REAVISOS_3M,int64,0,0.0,8,False
QTDE_REAVISOS_6M,int64,0,0.0,13,False
QTDE_REAVISOS_12M,int64,0,0.0,21,False
QTDE_REAVISOS_TOTAL,int64,0,0.0,177,False
VALOR_MEDIO_DEBITO_12M,float64,10794,3.92,54799,True
MAX_DEBITO_HISTORICO,float64,2057,0.75,31516,True
FLAG_PAGOU_ULTIMO_REAVISO,int64,0,0.0,2,False
FLAG_PRORROGOU_12M,int64,0,0.0,1,False
VARIACAO_DEBITO_VS_MEDIA,float64,10794,3.92,1228,True
QTDE_CORTES_12M,int64,0,0.0,9,False
QTDE_CORTES_TOTAL,int64,0,0.0,68,False
FLAG_NAO_RELIGAR_AUTOMATICO,int64,0,0.0,2,False
MEDIA_DIAS_CORTADO,float64,196336,71.27,25,True
MAX_DIAS_CORTADO,float64,196336,71.27,9,True
MIN_DIAS_CORTADO,float64,196336,71.27,18,True
TAXA_RELIGOU_MESMO_DIA,float64,196336,71.27,15,True
FLAG_ULTIMO_RELIGOU_MESMO_DIA,int64,0,0.0,2,False
TAXA_RELIGACAO_AUTOMATICA,float64,53510,19.42,258,True
DIAS_DESDE_ULTIMO_CORTE,float64,62571,22.71,5026,True
ULTIMA_FORMA_EXECUCAO_CORTE,float64,62571,22.71,1,True
FLAG_CORTE_INDEVIDO_HISTORICO,int64,0,0.0,2,False
FLAG_NUNCA_FOI_CORTADO,int64,0,0.0,2,False
TAXA_PAG_CANAL_SMS,float64,275484,100.0,0,True
TAXA_PAG_CANAL_IMPRESSO,float64,2061,0.75,460,True
CANAL_IGUAL_AO_ULTIMO,int64,0,0.0,2,False
